2022-05-30 01:13:07 status half-installed debconf-i18n:all 1.5.56+deb8u1
2022-05-30 01:13:07 status unpacked debconf-i18n:all 1.5.56+deb8u1
2022-05-30 01:13:07 status unpacked debconf-i18n:all 1.5.56+deb8u1
2022-05-30 01:13:07 install debianutils:amd64 <none> 4.4+b1
2022-05-30 01:13:07 status half-installed debianutils:amd64 4.4+b1
2022-05-30 01:13:07 status unpacked debianutils:amd64 4.4+b1
2022-05-30 01:13:07 status unpacked debianutils:amd64 4.4+b1
2022-05-30 01:13:07 install diffutils:amd64 <none> 1:3.3-1+b1
2022-05-30 01:13:07 status half-installed diffutils:amd64 1:3.3-1+b1
2022-05-30 01:13:07 status unpacked diffutils:amd64 1:3.3-1+b1
2022-05-30 01:13:07 status unpacked diffutils:amd64 1:3.3-1+b1
2022-05-30 01:13:07 upgrade dpkg:amd64 1.17.27 1.17.27
2022-05-30 01:13:07 status half-configured dpkg:amd64 1.17.27
2022-05-30 01:13:07 status unpacked dpkg:amd64 1.17.27
2022-05-30 01:13:07 status half-installed dpkg:amd64 1.17.27
2022-05-30 01:13:07 status half-installed dpkg:amd64 1.17.27
2022-05-30 01:13:07 status unpacked dpkg:amd64 1.17.27
2022-05-30 01:13:07 status unpacked dpkg:amd64 1.17.27
2022-05-30 01:13:07 install e2fslibs:amd64 <none> 1.42.12-2+b1
2022-05-30 01:13:07 status half-installed e2fslibs:amd64 1.42.12-2+b1
2022-05-30 01:13:08 status unpacked e2fslibs:amd64 1.42.12-2+b1
2022-05-30 01:13:08 status unpacked e2fslibs:amd64 1.42.12-2+b1
2022-05-30 01:13:08 install e2fsprogs:amd64 <none> 1.42.12-2+b1
2022-05-30 01:13:08 status half-installed e2fsprogs:amd64 1.42.12-2+b1
2022-05-30 01:13:08 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2022-05-30 01:13:08 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2022-05-30 01:13:08 install libcomerr2:amd64 <none> 1.42.12-2+b1
2022-05-30 01:13:08 status half-installed libcomerr2:amd64 1.42.12-2+b1
2022-05-30 01:13:08 status unpacked libcomerr2:amd64 1.42.12-2+b1
2022-05-30 01:13:08 status unpacked libcomerr2:amd64 1.42.12-2+b1
2022-05-30 01:13:08 install libss2:amd64 <none> 1.42.12-2+b1
2022-05-30 01:13:08 status half-installed libss2:amd64 1.42.12-2+b1
2022-05-30 01:13:08 status unpacked libss2:amd64 1.42.12-2+b1
2022-05-30 01:13:08 status unpacked libss2:amd64 1.42.12-2+b1
2022-05-30 01:13:08 install findutils:amd64 <none> 4.4.2-9+b1
2022-05-30 01:13:08 status half-installed findutils:amd64 4.4.2-9+b1
2022-05-30 01:13:08 status unpacked findutils:amd64 4.4.2-9+b1
2022-05-30 01:13:08 status unpacked findutils:amd64 4.4.2-9+b1
2022-05-30 01:13:08 install gcc-4.8-base:amd64 <none> 4.8.4-1
2022-05-30 01:13:08 status half-installed gcc-4.8-base:amd64 4.8.4-1
2022-05-30 01:13:08 status unpacked gcc-4.8-base:amd64 4.8.4-1
2022-05-30 01:13:08 status unpacked gcc-4.8-base:amd64 4.8.4-1
2022-05-30 01:13:08 install gcc-4.9-base:amd64 <none> 4.9.2-10+deb8u1
2022-05-30 01:13:08 status half-installed gcc-4.9-base:amd64 4.9.2-10+deb8u1
2022-05-30 01:13:08 status unpacked gcc-4.9-base:amd64 4.9.2-10+deb8u1
2022-05-30 01:13:08 status unpacked gcc-4.9-base:amd64 4.9.2-10+deb8u1
2022-05-30 01:13:08 install libgcc1:amd64 <none> 1:4.9.2-10+deb8u1
2022-05-30 01:13:08 status half-installed libgcc1:amd64 1:4.9.2-10+deb8u1
2022-05-30 01:13:08 status unpacked libgcc1:amd64 1:4.9.2-10+deb8u1
2022-05-30 01:13:08 status unpacked libgcc1:amd64 1:4.9.2-10+deb8u1
2022-05-30 01:13:08 install libc-bin:amd64 <none> 2.19-18+deb8u10
2022-05-30 01:13:08 status half-installed libc-bin:amd64 2.19-18+deb8u10
2022-05-30 01:13:08 status unpacked libc-bin:amd64 2.19-18+deb8u10
2022-05-30 01:13:08 status unpacked libc-bin:amd64 2.19-18+deb8u10
2022-05-30 01:13:08 upgrade libc6:amd64 2.19-18+deb8u10 2.19-18+deb8u10
2022-05-30 01:13:08 status half-configured libc6:amd64 2.19-18+deb8u10
2022-05-30 01:13:08 status unpacked libc6:amd64 2.19-18+deb8u10
2022-05-30 01:13:08 status half-installed libc6:amd64 2.19-18+deb8u10
2022-05-30 01:13:09 status half-installed libc6:amd64 2.19-18+deb8u10
2022-05-30 01:13:09 status unpacked libc6:amd64 2.19-18+deb8u10
2022-05-30 01:13:09 status unpacked libc6:amd64 2.19-18+deb8u10
2022-05-30 01:13:09 install multiarch-support:amd64 <none> 2.19-18+deb8u10
2022-05-30 01:13:09 status half-installed multiarch-support:amd64 2.19-18+deb8u10
2022-05-30 01:13:09 status unpacked multiarch-support:amd64 2.19-18+deb8u10
2022-05-30 01:13:09 status unpacked multiarch-support:amd64 2.19-18+deb8u10
2022-05-30 01:13:09 install grep:amd64 <none> 2.20-4.1
2022-05-30 01:13:09 status half-installed grep:amd64 2.20-4.1
2022-05-30 01:13:09 status unpacked grep:amd64 2.20-4.1
2022-05-30 01:13:09 status unpacked grep:amd64 2.20-4.1
2022-05-30 01:13:09 install gzip:amd64 <none> 1.6-4
2022-05-30 01:13:09 status half-installed gzip:amd64 1.6-4
2022-05-30 01:13:09 status unpacked gzip:amd64 1.6-4
2022-05-30 01:13:09 status unpacked gzip:amd64 1.6-4
2022-05-30 01:13:09 install hostname:amd64 <none> 3.15
2022-05-30 01:13:09 status half-installed hostname:amd64 3.15
2022-05-30 01:13:09 status unpacked hostname:amd64 3.15
2022-05-30 01:13:09 status unpacked hostname:amd64 3.15
2022-05-30 01:13:09 install init:amd64 <none> 1.22
2022-05-30 01:13:09 status half-installed init:amd64 1.22
2022-05-30 01:13:09 status unpacked init:amd64 1.22
2022-05-30 01:13:09 status unpacked init:amd64 1.22
2022-05-30 01:13:09 install insserv:amd64 <none> 1.14.0-5
2022-05-30 01:13:09 status half-installed insserv:amd64 1.14.0-5
2022-05-30 01:13:09 status unpacked insserv:amd64 1.14.0-5
2022-05-30 01:13:09 status unpacked insserv:amd64 1.14.0-5
2022-05-30 01:13:09 install libkmod2:amd64 <none> 18-3
2022-05-30 01:13:09 status half-installed libkmod2:amd64 18-3
2022-05-30 01:13:09 status unpacked libkmod2:amd64 18-3
2022-05-30 01:13:09 status unpacked libkmod2:amd64 18-3
2022-05-30 01:13:09 install libcap2:amd64 <none> 1:2.24-8
2022-05-30 01:13:09 status half-installed libcap2:amd64 1:2.24-8
2022-05-30 01:13:09 status unpacked libcap2:amd64 1:2.24-8
2022-05-30 01:13:09 status unpacked libcap2:amd64 1:2.24-8
2022-05-30 01:13:09 install libcap2-bin:amd64 <none> 1:2.24-8
2022-05-30 01:13:09 status half-installed libcap2-bin:amd64 1:2.24-8
2022-05-30 01:13:09 status unpacked libcap2-bin:amd64 1:2.24-8
2022-05-30 01:13:09 status unpacked libcap2-bin:amd64 1:2.24-8
2022-05-30 01:13:09 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u4
2022-05-30 01:13:09 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u4
2022-05-30 01:13:10 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u4
2022-05-30 01:13:10 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u4
2022-05-30 01:13:10 install libgpg-error0:amd64 <none> 1.17-3
2022-05-30 01:13:10 status half-installed libgpg-error0:amd64 1.17-3
2022-05-30 01:13:10 status unpacked libgpg-error0:amd64 1.17-3
2022-05-30 01:13:10 status unpacked libgpg-error0:amd64 1.17-3
2022-05-30 01:13:10 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2022-05-30 01:13:10 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2022-05-30 01:13:10 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2022-05-30 01:13:10 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2022-05-30 01:13:10 install libselinux1:amd64 <none> 2.3-2
2022-05-30 01:13:10 status half-installed libselinux1:amd64 2.3-2
2022-05-30 01:13:10 status unpacked libselinux1:amd64 2.3-2
2022-05-30 01:13:10 status unpacked libselinux1:amd64 2.3-2
2022-05-30 01:13:10 install libsemanage-common:all <none> 2.3-1
2022-05-30 01:13:10 status half-installed libsemanage-common:all 2.3-1
2022-05-30 01:13:10 status unpacked libsemanage-common:all 2.3-1
2022-05-30 01:13:10 status unpacked libsemanage-common:all 2.3-1
2022-05-30 01:13:10 install libsemanage1:amd64 <none> 2.3-1+b1
2022-05-30 01:13:10 status half-installed libsemanage1:amd64 2.3-1+b1
2022-05-30 01:13:10 status unpacked libsemanage1:amd64 2.3-1+b1
2022-05-30 01:13:10 status unpacked libsemanage1:amd64 2.3-1+b1
2022-05-30 01:13:10 install libsepol1:amd64 <none> 2.3-2
2022-05-30 01:13:10 status half-installed libsepol1:amd64 2.3-2
2022-05-30 01:13:10 status unpacked libsepol1:amd64 2.3-2
2022-05-30 01:13:10 status unpacked libsepol1:amd64 2.3-2
2022-05-30 01:13:10 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2022-05-30 01:13:10 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2022-05-30 01:13:10 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2022-05-30 01:13:10 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2022-05-30 01:13:10 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2022-05-30 01:13:10 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2022-05-30 01:13:10 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2022-05-30 01:13:10 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2022-05-30 01:13:10 install libtext-wrapi18n-perl:all <none> 0.06-7
2022-05-30 01:13:10 status half-installed libtext-wrapi18n-perl:all 0.06-7
2022-05-30 01:13:10 status unpacked libtext-wrapi18n-perl:all 0.06-7
2022-05-30 01:13:10 status unpacked libtext-wrapi18n-perl:all 0.06-7
2022-05-30 01:13:10 install lsb-base:all <none> 4.1+Debian13+nmu1
2022-05-30 01:13:10 status half-installed lsb-base:all 4.1+Debian13+nmu1
2022-05-30 01:13:10 status unpacked lsb-base:all 4.1+Debian13+nmu1
2022-05-30 01:13:10 status unpacked lsb-base:all 4.1+Debian13+nmu1
2022-05-30 01:13:10 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2022-05-30 01:13:10 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2022-05-30 01:13:10 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2022-05-30 01:13:10 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2022-05-30 01:13:10 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2+deb8u1
2022-05-30 01:13:10 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2022-05-30 01:13:10 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2022-05-30 01:13:10 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2022-05-30 01:13:10 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2022-05-30 01:13:10 status half-configured mawk:amd64 1.3.3-17
2022-05-30 01:13:10 status unpacked mawk:amd64 1.3.3-17
2022-05-30 01:13:10 status half-installed mawk:amd64 1.3.3-17
2022-05-30 01:13:10 status half-installed mawk:amd64 1.3.3-17
2022-05-30 01:13:10 status unpacked mawk:amd64 1.3.3-17
2022-05-30 01:13:10 status unpacked mawk:amd64 1.3.3-17
2022-05-30 01:13:10 install libncurses5:amd64 <none> 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status half-installed libncurses5:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status unpacked libncurses5:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status unpacked libncurses5:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 install libncursesw5:amd64 <none> 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status half-installed libncursesw5:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status unpacked libncursesw5:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status unpacked libncursesw5:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 install libtinfo5:amd64 <none> 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status half-installed libtinfo5:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status unpacked libtinfo5:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status unpacked libtinfo5:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 install ncurses-base:all <none> 5.9+20140913-1+deb8u3
2022-05-30 01:13:10 status half-installed ncurses-base:all 5.9+20140913-1+deb8u3
2022-05-30 01:13:11 status unpacked ncurses-base:all 5.9+20140913-1+deb8u3
2022-05-30 01:13:11 status unpacked ncurses-base:all 5.9+20140913-1+deb8u3
2022-05-30 01:13:11 install ncurses-bin:amd64 <none> 5.9+20140913-1+deb8u3
2022-05-30 01:13:11 status half-installed ncurses-bin:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:11 status unpacked ncurses-bin:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:11 status unpacked ncurses-bin:amd64 5.9+20140913-1+deb8u3
2022-05-30 01:13:11 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2022-05-30 01:13:11 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2022-05-30 01:13:11 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2022-05-30 01:13:11 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2022-05-30 01:13:11 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2+b1
2022-05-30 01:13:11 install libpcre3:amd64 <none> 2:8.35-3.3+deb8u4
2022-05-30 01:13:11 status half-installed libpcre3:amd64 2:8.35-3.3+deb8u4
2022-05-30 01:13:11 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2022-05-30 01:13:11 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2022-05-30 01:13:11 upgrade perl-base:amd64 5.20.2-3+deb8u11 5.20.2-3+deb8u11
2022-05-30 01:13:11 status half-configured perl-base:amd64 5.20.2-3+deb8u11
2022-05-30 01:13:11 status unpacked perl-base:amd64 5.20.2-3+deb8u11
2022-05-30 01:13:11 status half-installed perl-base:amd64 5.20.2-3+deb8u11
2022-05-30 01:13:12 status half-installed perl-base:amd64 5.20.2-3+deb8u11
2022-05-30 01:13:12 status unpacked perl-base:amd64 5.20.2-3+deb8u11
2022-05-30 01:13:12 status unpacked perl-base:amd64 5.20.2-3+deb8u11
2022-05-30 01:13:12 install libprocps3:amd64 <none> 2:3.3.9-9+deb8u1
2022-05-30 01:13:12 status half-installed libprocps3:amd64 2:3.3.9-9+deb8u1
2022-05-30 01:13:12 status unpacked libprocps3:amd64 2:3.3.9-9+deb8u1
2022-05-30 01:13:12 status unpacked libprocps3:amd64 2:3.3.9-9+deb8u1
2022-05-30 01:13:12 install procps:amd64 <none> 2:3.3.9-9+deb8u1
2022-05-30 01:13:12 status half-installed procps:amd64 2:3.3.9-9+deb8u1
2022-05-30 01:13:12 status unpacked procps:amd64 2:3.3.9-9+deb8u1
2022-05-30 01:13:12 status unpacked procps:amd64 2:3.3.9-9+deb8u1
2022-05-30 01:13:12 install sed:amd64 <none> 4.2.2-4+deb8u1
2022-05-30 01:13:12 status half-installed sed:amd64 4.2.2-4+deb8u1
2022-05-30 01:13:12 status unpacked sed:amd64 4.2.2-4+deb8u1
2022-05-30 01:13:12 status unpacked sed:amd64 4.2.2-4+deb8u1
2022-05-30 01:13:12 install sensible-utils:all <none> 0.0.9+deb8u1
