https://deb.debian.org/debian/dists/jessie/InRelease:
2022-05-29 21:12:10 ERROR 404: Not Found.
2022-05-29 21:12:32 URL:https://deb.debian.org/debian/pool/main/d/debconf/debconf-i18n_1.5.56+deb8u1_all.deb [205992/205992] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/debconf-i18n_1.5.56+deb8u1_all.deb" [1]
2022-05-29 21:12:32 URL:https://deb.debian.org/debian/pool/main/d/debian-archive-keyring/debian-archive-keyring_2017.5~deb8u1_all.deb [56652/56652] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/debian-archive-keyring_2017.5~deb8u1_all.deb" [1]
2022-05-29 21:12:32 URL:https://deb.debian.org/debian/pool/main/d/debianutils/debianutils_4.4+b1_amd64.deb [99062/99062] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/debianutils_4.4+b1_amd64.deb" [1]
2022-05-29 21:12:32 URL:https://deb.debian.org/debian/pool/main/d/diffutils/diffutils_3.3-1+b1_amd64.deb [266998/266998] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/diffutils_1%3a3.3-1+b1_amd64.deb" [1]
2022-05-29 21:12:32 URL:https://deb.debian.org/debian/pool/main/d/dmidecode/dmidecode_2.12-3_amd64.deb [64422/64422] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/dmidecode_2.12-3_amd64.deb" [1]
2022-05-29 21:12:33 URL:https://deb.debian.org/debian/pool/main/d/dpkg/dpkg_1.17.27_amd64.deb [2993546/2993546] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/dpkg_1.17.27_amd64.deb" [1]
2022-05-29 21:12:33 URL:https://deb.debian.org/debian/pool/main/e/e2fsprogs/e2fslibs_1.42.12-2+b1_amd64.deb [185860/185860] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/e2fslibs_1.42.12-2+b1_amd64.deb" [1]
2022-05-29 21:12:33 URL:https://deb.debian.org/debian/pool/main/e/e2fsprogs/e2fsprogs_1.42.12-2+b1_amd64.deb [750096/750096] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/e2fsprogs_1.42.12-2+b1_amd64.deb" [1]
2022-05-29 21:12:33 URL:https://deb.debian.org/debian/pool/main/e/e2fsprogs/libcomerr2_1.42.12-2+b1_amd64.deb [60700/60700] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libcomerr2_1.42.12-2+b1_amd64.deb" [1]
2022-05-29 21:12:33 URL:https://deb.debian.org/debian/pool/main/e/e2fsprogs/libss2_1.42.12-2+b1_amd64.deb [64962/64962] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libss2_1.42.12-2+b1_amd64.deb" [1]
2022-05-29 21:12:33 URL:https://deb.debian.org/debian/pool/main/f/findutils/findutils_4.4.2-9+b1_amd64.deb [485428/485428] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/findutils_4.4.2-9+b1_amd64.deb" [1]
2022-05-29 21:12:33 URL:https://deb.debian.org/debian/pool/main/g/gcc-4.8/gcc-4.8-base_4.8.4-1_amd64.deb [155340/155340] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/gcc-4.8-base_4.8.4-1_amd64.deb" [1]
2022-05-29 21:12:33 URL:https://deb.debian.org/debian/pool/main/g/gcc-4.9/gcc-4.9-base_4.9.2-10+deb8u1_amd64.deb [159970/159970] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/gcc-4.9-base_4.9.2-10+deb8u1_amd64.deb" [1]
2022-05-29 21:12:33 URL:https://deb.debian.org/debian/pool/main/g/gcc-4.9/libgcc1_4.9.2-10+deb8u1_amd64.deb [39494/39494] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libgcc1_1%3a4.9.2-10+deb8u1_amd64.deb" [1]
2022-05-29 21:12:34 URL:https://deb.debian.org/debian/pool/main/g/gcc-4.9/libstdc++6_4.9.2-10+deb8u1_amd64.deb [273048/273048] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libstdc++6_4.9.2-10+deb8u1_amd64.deb" [1]
2022-05-29 21:12:34 URL:https://deb.debian.org/debian/pool/main/g/gdbm/libgdbm3_1.8.3-13.1_amd64.deb [30004/30004] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libgdbm3_1.8.3-13.1_amd64.deb" [1]
2022-05-29 21:12:34 URL:https://deb.debian.org/debian/pool/main/g/glibc/libc-bin_2.19-18+deb8u10_amd64.deb [1280916/1280916] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libc-bin_2.19-18+deb8u10_amd64.deb" [1]
2022-05-29 21:12:34 URL:https://deb.debian.org/debian/pool/main/g/glibc/libc6_2.19-18+deb8u10_amd64.deb [4665056/4665056] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libc6_2.19-18+deb8u10_amd64.deb" [1]
2022-05-29 21:12:35 URL:https://deb.debian.org/debian/pool/main/g/glibc/multiarch-support_2.19-18+deb8u10_amd64.deb [180516/180516] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/multiarch-support_2.19-18+deb8u10_amd64.deb" [1]
2022-05-29 21:12:35 URL:https://deb.debian.org/debian/pool/main/g/gmp/libgmp10_6.0.0+dfsg-6_amd64.deb [253270/253270] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libgmp10_2%3a6.0.0+dfsg-6_amd64.deb" [1]
2022-05-29 21:12:35 URL:https://deb.debian.org/debian/pool/main/g/gnupg/gnupg_1.4.18-7+deb8u5_amd64.deb [1149570/1149570] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/gnupg_1.4.18-7+deb8u5_amd64.deb" [1]
2022-05-29 21:12:35 URL:https://deb.debian.org/debian/pool/main/g/gnupg/gpgv_1.4.18-7+deb8u5_amd64.deb [208826/208826] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/gpgv_1.4.18-7+deb8u5_amd64.deb" [1]
2022-05-29 21:12:35 URL:https://deb.debian.org/debian/pool/main/g/gnutls28/libgnutls-deb0-28_3.3.8-6+deb8u7_amd64.deb [696266/696266] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libgnutls-deb0-28_3.3.8-6+deb8u7_amd64.deb" [1]
2022-05-29 21:12:35 URL:https://deb.debian.org/debian/pool/main/g/gnutls28/libgnutls-openssl27_3.3.8-6+deb8u7_amd64.deb [143364/143364] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libgnutls-openssl27_3.3.8-6+deb8u7_amd64.deb" [1]
2022-05-29 21:12:35 URL:https://deb.debian.org/debian/pool/main/g/grep/grep_2.20-4.1_amd64.deb [325154/325154] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/grep_2.20-4.1_amd64.deb" [1]
2022-05-29 21:12:35 URL:https://deb.debian.org/debian/pool/main/g/groff/groff-base_1.22.2-8_amd64.deb [1182514/1182514] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/groff-base_1.22.2-8_amd64.deb" [1]
2022-05-29 21:12:36 URL:https://deb.debian.org/debian/pool/main/g/gzip/gzip_1.6-4_amd64.deb [111216/111216] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/gzip_1.6-4_amd64.deb" [1]
2022-05-29 21:12:36 URL:https://deb.debian.org/debian/pool/main/h/hostname/hostname_3.15_amd64.deb [13914/13914] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/hostname_3.15_amd64.deb" [1]
2022-05-29 21:12:36 URL:https://deb.debian.org/debian/pool/main/i/icu/libicu52_52.1-8+deb8u7_amd64.deb [6807216/6807216] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libicu52_52.1-8+deb8u7_amd64.deb" [1]
2022-05-29 21:12:36 URL:https://deb.debian.org/debian/pool/main/i/ifupdown/ifupdown_0.7.53.1_amd64.deb [67184/67184] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/ifupdown_0.7.53.1_amd64.deb" [1]
2022-05-29 21:12:36 URL:https://deb.debian.org/debian/pool/main/i/init-system-helpers/init_1.22_amd64.deb [4674/4674] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/init_1.22_amd64.deb" [1]
2022-05-29 21:12:36 URL:https://deb.debian.org/debian/pool/main/i/init-system-helpers/init-system-helpers_1.22_all.deb [14026/14026] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/init-system-helpers_1.22_all.deb" [1]
2022-05-29 21:12:36 URL:https://deb.debian.org/debian/pool/main/i/insserv/insserv_1.14.0-5_amd64.deb [64774/64774] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/insserv_1.14.0-5_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/i/iproute2/iproute2_3.16.0-2_amd64.deb [426382/426382] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/iproute2_3.16.0-2_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/i/iptables/iptables_1.4.21-2+b1_amd64.deb [276780/276780] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/iptables_1.4.21-2+b1_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/i/iptables/libxtables10_1.4.21-2+b1_amd64.deb [67576/67576] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libxtables10_1.4.21-2+b1_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/i/iputils/iputils-ping_20121221-5+b2_amd64.deb [56542/56542] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/iputils-ping_3%3a20121221-5+b2_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/i/isc-dhcp/isc-dhcp-client_4.3.1-6+deb8u3_amd64.deb [250072/250072] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/isc-dhcp-client_4.3.1-6+deb8u3_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/i/isc-dhcp/isc-dhcp-common_4.3.1-6+deb8u3_amd64.deb [211324/211324] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/isc-dhcp-common_4.3.1-6+deb8u3_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/j/json-c/libjson-c2_0.11-4_amd64.deb [24818/24818] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libjson-c2_0.11-4_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/k/keyutils/libkeyutils1_1.5.9-5+b1_amd64.deb [12010/12010] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libkeyutils1_1.5.9-5+b1_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/k/kmod/kmod_18-3_amd64.deb [86230/86230] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/kmod_18-3_amd64.deb" [1]
2022-05-29 21:12:37 URL:https://deb.debian.org/debian/pool/main/k/kmod/libkmod2_18-3_amd64.deb [46190/46190] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libkmod2_18-3_amd64.deb" [1]
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/k/krb5/libgssapi-krb5-2_1.12.1+dfsg-19+deb8u4_amd64.deb [152432/152432] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libgssapi-krb5-2_1.12.1+dfsg-19+deb8u4_amd64.deb" [1]
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/k/krb5/libk5crypto3_1.12.1+dfsg-19+deb8u4_amd64.deb [115564/115564] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libk5crypto3_1.12.1+dfsg-19+deb8u4_amd64.deb" [1]
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/k/krb5/libkrb5-3_1.12.1+dfsg-19+deb8u4_amd64.deb [303402/303402] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libkrb5-3_1.12.1+dfsg-19+deb8u4_amd64.deb" [1]
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/k/krb5/libkrb5support0_1.12.1+dfsg-19+deb8u4_amd64.deb [59354/59354] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libkrb5support0_1.12.1+dfsg-19+deb8u4_amd64.deb" [1]
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/l/less/less_458-3_amd64.deb [124466/124466] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/less_458-3_amd64.deb" [1]
